parent_smiles,pH_r,temp_C_r,pH_over_TK_r,group_source_key,source_block,source_blocks_joined,n_source_blocks,all_conditions_missing,logK,rep_n,rep_std,smiles_rdkit,compound_name,pH,temp_C,pH_over_TK,src_A_raw_k_with_smiles,src_B_logk_name_only,src_C_logk_with_pH_T,src_D_logk_with_pH_over_TK,kept_for_model
O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.511883360978874,1,0.0,O=[N+]([O-])NC1=NCCN1Cc1ccc(Cl)nc1,Imidacloprid,,,,1,0,0,0,True
Nc1nc(N)nc(Cl)n1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.176091259055681,1,0.0,Nc1nc(N)nc(Cl)n1,Desethyl-desisopropyl atrazine,,,,1,0,0,0,True
CC(O)C(=O)O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,7.0,1,0.0,CC(O)C(=O)O,2-hydroxypropanoic acid,,,,1,0,0,0,True
CCSSCC,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.477121254719663,1,0.0,CCSSCC,ethyldisulfanylethane,,,,1,0,0,0,True
COc1ccc(C(=O)[O-])c(OC)c1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.57978359661681,1,0.0,COc1ccc(C(=O)[O-])c(OC)c1,"2,4-dimethoxybenzoate",,,,1,0,0,0,True
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.378397900948137,1,0.0,CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,"3,3-dimethyl-7-oxo-6-[[2-(phenoxy)acetyl]amino]-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",,,,1,0,0,0,True
O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,7.846337112129805,1,0.0,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,Perfluorohexanoic acid,,,,1,0,0,0,True
CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.278753600952829,1,0.0,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,Diatriozate,,,,1,0,0,0,True
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n(C)c1=O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.544068044350276,1,0.0,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n(C)c1=O,"1-[(2R,4S,5R)-4-hydroxy-5-(hydroxymethyl)oxolan-2-yl]-3,5-dimethylpyrimidine-2,4-dione",,,,1,0,0,0,True
Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.380211241711606,1,0.0,Cc1nnc(SCC2=C(C(=O)[O-])N3C(=O)[C@@H](NC(=O)Cn4cnnn4)[C@H]3SC2)s1.[Na+],Cefazolin,,,,1,0,0,0,True
Cc1ccccc1I,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,7.845098040014257,1,0.0,Cc1ccccc1I,2-lodotoluene,,,,1,0,0,0,True
Cc1c[nH]c2ccccc12,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,10.079181246047625,1,0.0,Cc1c[nH]c2ccccc12,3-Methylindole,,,,1,0,0,0,True
Cc1cc2nc3c(=O)n(C)c(=O)n(C)c3nc2cc1C,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.832508912706237,1,0.0,Cc1cc2nc3c(=O)n(C)c(=O)n(C)c3nc2cc1C,"1,3,7,8-tetramethylbenzo[g]pteridine-2,4-dione",,,,1,0,0,0,True
CC(=O)[O-],,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,6.6674529528899535,1,0.0,CC(=O)[O-],acetate,,,,1,0,0,0,True
O=C(O)CF,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,6.531478917042255,1,0.0,O=C(O)CF,Monofluoroacetic acid,,,,1,0,0,0,True
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,10.619093330626743,1,0.0,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,Sulfadiazine,,,,1,0,0,0,True
C=Cc1ccccc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.301029995663981,1,0.0,C=Cc1ccccc1,Ethenylbenzene,,,,1,0,0,0,True
CC1(C)CON(Cc2ccccc2Cl)C1=O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.9731278535997,1,0.0,CC1(C)CON(Cc2ccccc2Cl)C1=O,Clomazone,,,,1,0,0,0,True
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.431363764158988,1,0.0,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,"2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol",,,,1,0,0,0,True
Brc1ccccc1Br,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.602059991327963,1,0.0,Brc1ccccc1Br,"1,2-Dibromobenzene",,,,1,0,0,0,True
C[n+]1ccc(-c2cc[n+](C)cc2)cc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.079181246047625,1,0.0,C[n+]1ccc(-c2cc[n+](C)cc2)cc1.[Cl-].[Cl-],Paraquat dichloride,,,,1,0,0,0,True
O=C([O-])c1ccc(C(=O)[O-])cc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,8.230448921378274,1,0.0,O=C([O-])c1ccc(C(=O)[O-])cc1,Terephthalate,,,,1,0,0,0,True
CC(C)(C)CO,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,7.3979400086720375,1,0.0,CC(C)(C)CO,"2,2-dimethylpropan-1-ol",,,,1,0,0,0,True
CCOC(=O)c1ccccc1C(=O)OCC,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,7.8061799739838875,1,0.0,CCOC(=O)c1ccccc1C(=O)OCC,Diethyl phthalate,,,,1,0,0,0,True
CC(C)(O)C(C)(C)O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,6.414973347970818,1,0.0,CC(C)(O)C(C)(C)O,"2,3-Dimethylbutane-2,3-diol",,,,1,0,0,0,True
Cc1ncc([N+](=O)[O-])n1C,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.518513939877888,1,0.0,Cc1ncc([N+](=O)[O-])n1C,Dimetridazole,,,,1,0,0,0,True
CSc1nc2ccccc2s1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.146128035678238,1,0.0,CSc1nc2ccccc2s1,2-Methylthiobenzothiazole,,,,1,0,0,0,True
Cc1ccc(C(=O)O)cc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.255272505103306,1,0.0,Cc1ccc(C(=O)O)cc1,4-Methylbenzoic acid,,,,1,0,0,0,True
O=CO,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,5.7923916894982534,1,0.0,O=CO,formic acid,,,,1,0,0,0,True
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.113943352306837,1,0.0,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,Lindane,,,,1,0,0,0,True
Cc1cccc(C(=O)[O-])c1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.243038048686294,1,0.0,Cc1cccc(C(=O)[O-])c1,3-Toluate,,,,1,0,0,0,True
COc1ccc(OC)cc1,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.857332496431269,1,0.0,COc1ccc(OC)cc1,"1,4-Dimethoxybenzene",,,,1,0,0,0,True
Cc1cn([C@H]2C[C@H](CO)[C@@H](OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)nc(N)[nH]c54)C[C@@H]3O)O2)c(=O)[nH]c1=O,,,,A_raw_k_with_smiles,A_raw_k_with_smiles,A_raw_k_with_smiles,1,1,9.301029995663981,1,0.0,Cc1cn([C@H]2C[C@H](CO)[C@@H](OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(=O)nc(N)[nH]c54)C[C@@H]3O)O2)c(=O)[nH]c1=O,"[(2R,3S,5R)-5-(2-amino-6-oxo-3H-purin-9-yl)-3-hydroxyoxolan-2-yl]methyl [(2R,3R,5R)-3-(hydroxymethyl)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-2-yl] hydrogen phosphate",,,,1,0,0,0,True
